Subject,Session,Block,Index,Reward,Correct_Side,Choice,Response_Latency,Date,Side,Chosen_Higher_Probability,Trial,log_Response_Latency,Task_Type,NewRunIndex,BlockGlobalIndex
F2,1,V,2,0,1,0,148,25-Apr-2025,0,1,143,4.99721227376411,0,1,2
F2,1,V,2,0,0,1,152,25-Apr-2025,0,0,144,5.02388052084628,0,1,2
F2,1,V,2,1,0,0,54,25-Apr-2025,0,1,145,3.98898404656427,0,1,2
F2,1,V,2,1,0,0,51,25-Apr-2025,0,1,146,3.93182563272433,0,1,2
F2,1,V,2,1,0,0,37,25-Apr-2025,0,1,147,3.61091791264422,0,1,2
F2,1,V,2,1,0,0,1115,25-Apr-2025,0,1,148,7.01660968389422,0,1,2
F2,1,V,2,0,1,0,842,25-Apr-2025,0,1,149,6.73578001424233,0,1,2
F2,1,V,2,1,1,1,158,25-Apr-2025,0,0,150,5.06259503302697,0,1,2
F2,1,V,2,1,0,0,406,25-Apr-2025,0,1,151,6.00635315960173,0,1,2
F2,1,V,2,1,0,0,39,25-Apr-2025,0,1,152,3.66356164612965,0,1,2
F2,1,V,2,1,0,0,36,25-Apr-2025,0,1,153,3.58351893845611,0,1,2
F2,1,V,2,1,0,0,144,25-Apr-2025,0,1,154,4.969813299576,0,1,2
F2,1,V,2,1,0,0,54,25-Apr-2025,0,1,155,3.98898404656427,0,1,2
F2,1,V,2,1,0,0,224,25-Apr-2025,0,1,156,5.41164605185504,0,1,2
F2,1,V,2,0,1,0,274,25-Apr-2025,0,1,157,5.61312810638807,0,1,2
F2,1,V,2,0,0,1,68,25-Apr-2025,0,0,158,4.21950770517611,0,1,2
F2,1,V,2,1,0,0,72,25-Apr-2025,0,1,159,4.27666611901606,0,1,2
F4,1,S,4,1,1,1,1053,25-Apr-2025,1,1,40,6.95939851213398,0,2,3
F4,1,S,4,1,1,1,57,25-Apr-2025,1,1,41,4.04305126783455,0,2,3
F4,1,S,4,1,1,1,252,25-Apr-2025,1,1,42,5.52942908751142,0,2,3
